1,1,301,68,1329
2,1,169,317,1144
2,2,175,316,1149
2,3,178,316,1154
2,4,190,307,1159
2,5,200,295,1164
2,6,203,290,1169
2,7,209,286,1174
2,8,213,282,1179
2,9,229,270,1184
2,10,233,266,1189
2,11,241,260,1194
2,12,247,254,1199
2,13,257,246,1204
2,14,265,237,1209
2,15,271,234,1214
2,16,277,232,1219
2,17,280,226,1224
2,18,290,221,1229
2,19,295,214,1234
2,20,295,206,1239
2,21,298,202,1244
2,22,302,201,1249
2,23,306,195,1254
2,24,309,190,1259
2,25,309,184,1264
2,26,317,180,1269
2,27,319,174,1274
2,28,319,168,1279
2,29,322,162,1284
2,30,325,155,1289
2,31,325,150,1294
2,32,321,138,1299
2,33,315,128,1304
2,34,312,114,1309
2,35,309,104,1314
2,36,303,95,1319
2,37,302,92,1324
